;LLL;OLnL;PLnL;LOL;OLnO;PLL;PLnO;LOO;PoOO;PLO;PoOP;PLP;OOO;SLO;POO;POP;SOO;SOP ou POS;PPS ou POA
NI42;0.036;0.141;0.021;0.95101;1.443;0.286;0.57601;11.525;1.128;3.908;0.474;0.203;53.003;0.431;19.238;2.338;3.325;0.57601;0.397
NI45;0.05;0.164;0.026;1.224;1.331;0.352;0.51299;12.747;1.542;4.861;0.80999;0.407;49.158;0.64499;19.441;2.357;3.241;0.59599;0.53599
NI47;0.04;0.137;0.021;0.79799;1.406;0.212;0.5;10.471;1.088;3.519;0.53999;0.275;55.019;0.57199;18.408;2.027;3.804;0.53099;0.63199
NM04;0.13;0.39;0.08;2.32;1.97;0.64;0.89;14.94;1.33;5.97;0.7;0.73;40.76;0.97;20.44;3.25;3.44;0.7;0.35
NM05;0.07;0.2;0.05;1.45;1.74;0.53;0.85;10.4;2.31;4.69;1.56;0.62;44.93;0.7;22.06;3.59;3.2;0.66;0.39
NM06;0.18;0.42;0.12;3.12;1.98;1.16;01.07;15.96;1.98;8.22;1.24;1.1;34.37;1.16;20.22;3.63;03.06;0.67;0.34
NM07;0.11;0.31;0.07;2.24;1.78;0.59;0.72;14.36;1.39;5.47;0.69;0.66;41.86;1.16;20.08;3.43;3.96;0.74;0.38
NM08;0.1;0.34;0.08;2.32;1.9;0.62;0.78;14.97;1.36;5.83;0.7;0.69;41.31;01.08;20.04;3.22;3.6;0.7;0.36
NM09;0.13;0.42;0.1;2.38;2.13;0.65;0.9;14.93;1.37;5.76;0.64;0.71;41.59;0.94;19.74;3.38;3.26;0.61;0.36
NM10;0.14;0.35;0.11;2.67;1.86;0.91;0.95;15.12;1.78;7.23;1.16;0.99;37.96;1.2;20.47;3.1;2.94;0.71;0.35
NM11;0.12;0.37;0.08;2.47;1.91;0.68;0.82;15.2;1.45;6.36;0.83;0.78;39.87;0.93;20.38;3.29;3.41;0.7;0.35
NM17;0.093;0.295;0.06;1.444;1.908;0.511;0.855;12.89;1.456;5.035;0.544;0.345;45.43;0.686;20.308;2.947;3.825;0.894;0.474
NM19;0.09;0.267;0.049;1.391;1.743;0.476;0.836;12.595;1.381;4.727;0.516;0.308;47.238;0.696;19.676;2.823;3.92;0.841;0.427
NM20;0.1;0.302;0.057;1.534;1.875;0.546;0.828;13.256;1.553;5.321;0.623;0.376;44.025;0.759;20.478;2.92;3.962;1.024;0.461
NM21;0.088;0.256;0.056;1.269;1.697;0.421;0.755;11.865;1.469;4.72;0.559;0.32;47.388;0.695;19.88;2.891;4.252;0.978;0.441
NM23;0.07;0.24;0.07;01.02;1.83;0.29;0.66;10.94;1.28;04.09;0.7;0.41;50.33;0.77;19.01;2.31;4.51;0.84;0.63
NM24;0.102;0.333;0.070999;1.496;1.931;0.45;0.85599;13.156;1.357;5.1469;0.493;0.356;45.483;0.68899;20.279;2.946;3.583;0.81599;0.457
NY08;0.07;0.17;0.04;1.61;1.7;0.3;0.55;12.84;1.22;04.01;0.59;0.33;49.57;0.93;18.38;2.31;4.15;0.74;0.49
NY09;0.04;0.15;0.04;1.38;1.67;0.21;0.44;12.53;1.15;3.65;0.39;0.36;51.43;0.89;18.09;2.15;4.21;0.75;0.47
NY13;0.06;0.17;0.05;1.72;1.86;0.28;0.52;13.45;1.19;04.04;0.41;0.42;49.77;01.03;17.48;02.09;4.22;0.81;0.43
NY14;0.06;0.2;0.02;1.22;1.16;0.22;0.49;12.15;0.94;3.27;0.25;0.17;54.95;0.9;16.55;1.87;4.61;0.55;0.42
NY15;0.07;0.19;0.03;1.42;1.57;0.24;0.39;12.51;0.84;3.28;0.23;0.19;54.1;0.9;16.55;1.89;4.57;0.61;0.42
NY16;0.06;0.18;0.02;1.35;1.57;0.26;0.45;12.57;0.92;3.25;0.24;0.18;54.05;0.76;16.88;1.98;4.29;0.57;0.42
